ticker,entry_time,entry_price,exit_time,exit_price,score,agreement_ratio,pnl_pct,pnl_tl,hit,reasons
ENKAI.IS,2026-07-30T12:01:41.210749+00:00,86.55000305175781,2026-07-30T12:16:48.431496+00:00,86.30000305175781,15.0,0.75,-0.28885,-114.75,opposite_signal,"RSI düşük (25.9) -> Aşırı satım bölgesi | Stochastic aşırı satım bölgesi (K:19) | Stochastic yükseliş eğilimi | CCI aşırı satım (-104) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:52, -DI>6) | Düşük hacimli geri çekilme | Hacim artıyor 📊 | OBV düşüş trendi → Çıkış var | Fiyat desteğe yakın (%0.2) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 459 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.36"
ENKAI.IS,2026-07-30T13:02:10.809999+00:00,86.25,2026-07-30T13:17:20.496324+00:00,85.80000305175781,15.0,0.75,-0.521736,-206.55,opposite_signal,"RSI çok düşük (17.2) -> Aşırı satım, tepki alımı potansiyeli | Stochastic Bearish Cross (K:16, D:17) | Stochastic aşırı satım bölgesi (K:16) | CCI aşırı satım (-102) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:58, -DI>5) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Bollinger %B düşük (0.18) | Fiyat desteğe yakın (%0.2) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 459 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.34"
ENKAI.IS,2026-07-30T14:02:40.110101+00:00,86.05000305175781,2026-07-30T14:17:47.188633+00:00,85.80000305175781,15.0,0.75,-0.290529,-116.25,opposite_signal,"RSI düşük (28.9) -> Aşırı satım bölgesi | Stochastic yükseliş eğilimi | CCI düşük (-73) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.01) | Güçlü düşüş trendi (ADX:62, -DI>6) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Fiyat desteğe yakın (%0.5) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 465 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.37"
GUBRF.IS,2026-08-03T08:00:46.061601+00:00,398.75,2026-08-03T09:46:24.760361+00:00,407.0,17.1,1.0,2.068966,1856.25,target,RSI nötr (55.6) | Stochastic yükseliş eğilimi | düşüş teyiti (EMA200 altında + eğim negatif) | SMA Golden Cross ✨ → Yükseliş sinyali | MACD Histogram pozitif (0.08) | Zayıf düşüş trendi (ADX:25) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat desteğe yakın (%1.6) | R/R: 1:1.8 | Stop: Swing | Hedef: Direnç | Pozisyon: 225 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.79
ODAS.IS,2026-08-03T09:31:17.445393+00:00,7.909999847412109,2026-08-03T10:01:30.333278+00:00,7.849999904632568,15.0,0.75,-0.758533,-682.68,opposite_signal,"RSI düşük (26.5) -> Aşırı satım bölgesi | Stochastic yükseliş eğilimi | CCI düşük (-64) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:56, -DI>9) | Fiyat-Hacim yükseliş onayı | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Fiyat desteğe yakın (%1.4) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.4 | Stop: ATR | Hedef: ATR | Pozisyon: 11378 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.88"
ODAS.IS,2026-08-04T08:45:31.910185+00:00,7.659999847412109,2026-08-04T09:15:47.445969+00:00,7.630000114440918,15.0,0.75,-0.391641,-352.47,opposite_signal,"RSI çok düşük (14.8) -> Aşırı satım, tepki alımı potansiyeli | Stochastic Bullish Cross (K:21, D:18) | Stochastic yükseliş eğilimi | CCI düşük (-66) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:38, -DI>16) | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Fiyat desteğe yakın (%0.7) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:2.8 | Stop: ATR | Hedef: Swing | Pozisyon: 11749 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.59"
ENKAI.IS,2026-07-31T12:01:40.226005+00:00,85.4000015258789,2026-08-04T10:16:10.595329+00:00,86.3499984741211,15.0,0.75,1.112409,1000.35,opposite_signal,"RSI düşük-nötr (37.5) | Stochastic yükseliş eğilimi | CCI düşük (-79) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.01) | Güçlü düşüş trendi (ADX:28, -DI>18) | Düşük hacimli geri çekilme | Hacim artıyor 📊 | OBV düşüş trendi → Çıkış var | Fiyat desteğe yakın (%0.8) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:6.2 | Stop: Destek | Hedef: Yüzdelik | Pozisyon: 1053 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.42"
GUBRF.IS,2026-08-05T08:00:31.451345+00:00,419.75,2026-08-05T09:46:29.111103+00:00,413.75,15.0,0.5,-1.429422,-1284.0,stop,"RSI yüksek (71.4) -> Aşırı alım bölgesi | CCI aşırı alım (141) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram pozitif (0.78) | Güçlü yükseliş trendi (ADX:35, +DI>8) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger %B yüksek (0.90) | Fiyat dirence yakın (%1.4) | Karşıt-trend bastırma uygulandı (trend yukarı, momentum x0) | R/R: 1:6.1 | Stop: Fibonacci | Hedef: Yüzdelik | Pozisyon: 214 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.66"
ODAS.IS,2026-08-05T08:30:44.812470+00:00,7.699999809265137,2026-08-05T09:46:29.111103+00:00,7.599999904632568,15.7,1.0,-1.2987,-1168.8,stop,"RSI nötr (54.8) | Stochastic Bullish Cross (K:48, D:46) | Stochastic yükseliş eğilimi | CCI yüksek (97) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend yukarı | MACD Histogram pozitif (0.01) | Zayıf yükseliş trendi (ADX:24) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat desteğe yakın (%1.4) | R/R: 1:6.2 | Stop: ATR | Hedef: Yüzdelik | Pozisyon: 11688 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.65"
TUPRS.IS,2026-08-05T10:01:38.204768+00:00,304.5,2026-08-05T11:17:12.780247+00:00,300.5,15.799999999999997,0.5,-1.313629,-1180.0,stop,"RSI yüksek (75.7) -> Aşırı alım bölgesi | Stochastic Bullish Cross (K:71, D:71) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram pozitif (0.03) | Güçlü yükseliş trendi (ADX:39, +DI>20) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat dirence yakın (%2.0) | R/R: 1:2.1 | Stop: Destek | Hedef: ATR | Pozisyon: 295 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.89"
ASTOR.IS,2026-08-05T13:48:27.498282+00:00,310.0,2026-08-10T19:17:11.237261+00:00,306.5,20.0,1.0,-1.129032,-1015.0,timeout,"RSI nötr (60.0) | Stochastic Bullish Cross (K:63, D:62) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram zayıflıyor (-0.24) | Güçlü yükseliş trendi (ADX:39, +DI>18) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.5) | Güçlü trend ride → skor 20 ile sınırlandı | Aşırı uzama chase koruması → uzun skor 20 ile sınırlandı | R/R: 1:6.9 | Stop: Fibonacci | Hedef: Yüzdelik | Pozisyon: 290 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.61"
TUPRS.IS,2026-08-13T07:30:21.697517+00:00,352.25,2026-08-13T09:30:20.813054+00:00,346.25,22.0,0.75,-1.703336,-1530.0,stop,"RSI nötr (51.0) | CCI yüksek (88) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram negatif (-0.27) | Güçlü yükseliş trendi (ADX:44, +DI>10) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%2.0) | R/R: 1:6.1 | Stop: ATR | Hedef: Yüzdelik | Pozisyon: 255 lot | Risk Bütçesi: TL1300.00 | Volatilite throttle: x1.00 | ATR%: %0.64 | Korelasyon limiti: x0.65 | Iliskili: TUPRS.IS"
SISE.IS,2026-08-14T11:00:15.179125+00:00,42.119998931884766,2026-08-14T12:30:26.042795+00:00,41.599998474121094,24.0,0.75,-1.234569,-318.76,opposite_signal,"RSI nötr (50.0) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram zayıflıyor (-0.06) | Güçlü yükseliş trendi (ADX:36, +DI>17) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.9) | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 613 lot | Risk Bütçesi: TL1300.00 | Volatilite throttle: x1.00 | ATR%: %0.44 | Korelasyon limiti: x0.65 | Iliskili: SISE.IS"
GUBRF.IS,2026-08-17T13:00:19.198824+00:00,439.0,2026-08-18T08:00:21.717400+00:00,434.25,20.0,1.0,-1.082005,-973.75,opposite_signal,"RSI nötr (41.7) | Stochastic Bullish Cross (K:65, D:59) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram negatif (-0.70) | Güçlü yükseliş trendi (ADX:48, +DI>11) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.1) | Güçlü trend ride → skor 20 ile sınırlandı | Aşırı uzama chase koruması → uzun skor 20 ile sınırlandı | R/R: 1:6.8 | Stop: ATR | Hedef: Yüzdelik | Pozisyon: 205 lot | Risk Bütçesi: TL1300.00 | Volatilite throttle: x1.00 | ATR%: %0.58 | Korelasyon limiti: x0.65 | Iliskili: GUBRF.IS"
ODAS.IS,2026-08-18T08:00:16.484952+00:00,7.630000114440918,2026-08-18T11:30:20.664062+00:00,7.599999904632568,22.8,0.75,-0.393188,-353.85,opposite_signal,"RSI yüksek-nötr (65.7) | Stochastic Bullish Cross (K:52, D:51) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram pozitif (0.00) | Güçlü yükseliş trendi (ADX:33, +DI>15) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat dirence yakın (%1.7) | R/R: 1:6.1 | Stop: ATR | Hedef: Yüzdelik | Pozisyon: 11795 lot | Risk Bütçesi: TL1300.00 | Volatilite throttle: x1.00 | ATR%: %0.66 | Korelasyon limiti: x0.65 | Iliskili: ODAS.IS"
PETKM.IS,2026-08-14T13:45:16.970974+00:00,19.170000076293945,2026-08-19T13:45:28.979607+00:00,20.15999984741211,20.0,0.75,5.164318,3784.77,timeout,"RSI nötr (41.0) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend aşağı | MACD Histogram negatif (-0.01) | Güçlü yükseliş trendi (ADX:29, +DI>18) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.3) | R/R: 1:4.5 | Stop: Destek | Hedef: Yüzdelik | Pozisyon: 3823 lot | Risk Bütçesi: TL1300.00 | Volatilite throttle: x1.00 | ATR%: %0.44 | Korelasyon limiti: x0.65 | Iliskili: PETKM.IS"
TUPRS.IS,2026-08-20T13:00:18.777190+00:00,395.0,2026-08-21T07:45:15.204053+00:00,392.75,21.9,0.75,-0.56962,-510.75,opposite_signal,"RSI nötr (46.3) | Stochastic düşüş eğilimi | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram zayıflıyor (-0.24) | Güçlü yükseliş trendi (ADX:34, +DI>12) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.1) | R/R: 1:7.2 | Stop: Destek | Hedef: Yüzdelik | Pozisyon: 227 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.49"
ASTOR.IS,2026-08-20T14:00:22.141150+00:00,330.5,2026-08-21T08:00:18.240108+00:00,338.5,24.0,0.75,2.420575,2176.0,target,"RSI yüksek (71.7) -> Aşırı alım bölgesi | Stochastic aşırı alım bölgesi (K:81) | Stochastic düşüş eğilimi | CCI aşırı alım (163) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram güçleniyor (0.43) | Zayıf yükseliş trendi (ADX:23) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger %B yüksek (0.91) | Fiyat desteğe yakın (%1.8) | Karşıt-trend bastırma uygulandı (trend yukarı, momentum x0) | R/R: 1:2.0 | Stop: Fibonacci | Hedef: Swing | Pozisyon: 272 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.64"
